result	Gene	location	phenotype	inheritance
SUCCESS	ABHD5	3p21.33	Chanarin-Dorfman syndrome	AR
SUCCESS	ABL1	9q34.12	Congenital heart defects and skeletal malformations syndrome|Leukemia, Philadelphia chromosome-positive, resistant to imatinib	AD|SMu
SUCCESS	ACACA	17q12	Acetyl-CoA carboxylase deficiency	AR
SUCCESS	ACAD8	11q25	Isobutyryl-CoA dehydrogenase deficiency	AR
SUCCESS	ACAD9	3q21.3	Mitochondrial complex I deficiency, nuclear type 20	AR
SUCCESS	ACADM	1p31.1	Acyl-CoA dehydrogenase, medium chain, deficiency of	AR
SUCCESS	ACADS	12q24.31	Acyl-CoA dehydrogenase, short-chain, deficiency of	AR
SUCCESS	ACADSB	10q26.13	2-methylbutyrylglycinuria	AR
SUCCESS	ACADVL	17p13.1	VLCAD deficiency	AR
SUCCESS	ACAN	15q26.1	?Spondyloepiphyseal dysplasia, Kimberley type|Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans|Spondyloepimetaphyseal dysplasia, aggrecan type	AD|AD|AR
SUCCESS	ACAT1	11q22.3	Alpha-methylacetoacetic aciduria	AR
SUCCESS	ACAT2	6q25.3	?ACAT2 deficiency	IC
SUCCESS	ACBD5	10p12.1	Retinal dystrophy with leukodystrophy	AR
SUCCESS	ACD	16q22.1	?Dyskeratosis congenita, autosomal dominant 6|?Dyskeratosis congenita, autosomal recessive 7	AD, AR|AD, AR
SUCCESS	ACER3	11q13.5	?Leukodystrophy, progressive, early childhood-onset	AR
SUCCESS	ACO2	22q13.2	Infantile cerebellar-retinal degeneration|Optic atrophy 9	AR|AD, AR
SUCCESS	ACOX1	17q25.1	Mitchell syndrome|Peroxisomal acyl-CoA oxidase deficiency	AD|AR
SUCCESS	ACOX2	3p14.3	Bile acid synthesis defect, congenital, 6	AR
SUCCESS	ACP4	19q13.33	Amelogenesis imperfecta, type IJ	AR
SUCCESS	ACP5	19p13.2	Spondyloenchondrodysplasia with immune dysregulation	AR
SUCCESS	ACSF3	16q24.3	Combined malonic and methylmalonic aciduria	AR
SUCCESS	ACSL4	Xq23	Intellectual developmental disorder, X-linked 63	XLD
SUCCESS	ACTA1	1q42.13	?Myopathy, scapulohumeroperoneal|Congenital myopathy 2A, typical, autosomal dominant|Congenital myopathy 2B, severe infantile, autosomal recessive|Congenital myopathy 2C, severe infantile, autosomal dominant	AD|AD|AR|AD
SUCCESS	ACTA2	10q23.31	Aortic aneurysm, familial thoracic 6|Moyamoya disease 5|Smooth muscle dysfunction syndrome	AD|.|AD
SUCCESS	ACTB	7p22.1	Baraitser-Winter syndrome 1|Becker nevus, syndromic or isolated, somatic mosaic|Congenital smooth muscle hamartoma with or without hemihypertrophy, somatic mosaic|Dystonia-deafness syndrome 1|Thrombocytopenia 8, with dysmorphic features and developmental delay	AD|.|.|AD|AD
SUCCESS	ACTC1	15q14	Atrial septal defect 5|Cardiomyopathy, dilated, 1R|Cardiomyopathy, hypertrophic, 11|Left ventricular noncompaction 4	AD|AD|AD|AD
SUCCESS	ACTG1	17q25.3	Baraitser-Winter syndrome 2|Deafness, autosomal dominant 20/26	AD|AD
SUCCESS	ACTG2	2p13.1	Megacystis-microcolon-intestinal hypoperistalsis syndrome 5|Visceral myopathy 1	AD|AD
SUCCESS	ACTL6B	7q22.1	Developmental and epileptic encephalopathy 76|Intellectual developmental disorder with severe speech and ambulation defects	AR|AD
SUCCESS	ACTN1	14q24.1	Bleeding disorder, platelet-type, 15	AD
SUCCESS	ACTN2	1q43	Cardiomyopathy, dilated, 1AA, with or without LVNC|Cardiomyopathy, hypertrophic, 23, with or without LVNC|Congenital myopathy 8|Myopathy, distal, 6, adult onset	AD|AD|AD|AD
SUCCESS	ACTN4	19q13.2	Glomerulosclerosis, focal segmental, 1	AD
SUCCESS	ACVR1	2q24.1	Fibrodysplasia ossificans progressiva	AD
SUCCESS	ACVR2B	3p22.2	Heterotaxy, visceral, 4, autosomal	.
SUCCESS	ACVRL1	12q13.13	Telangiectasia, hereditary hemorrhagic, type 2	AD
SUCCESS	ACY1	3p21.2	Aminoacylase 1 deficiency	AR
SUCCESS	ADA	20q13.12	Adenosine deaminase deficiency, partial|Severe combined immunodeficiency due to ADA deficiency	AR, SMo|AR, SMo
SUCCESS	ADA2	22q11.1	Sneddon syndrome|Vasculitis, autoinflammation, immunodeficiency, and hematologic defects syndrome	AR|AR
SUCCESS	ADAM10	15q21.3	{Alzheimer disease 18, susceptibility to}|Reticulate acropigmentation of Kitamura	.|AD
SUCCESS	ADAM17	2p25.1	?Inflammatory skin and bowel disease, neonatal, 1	AR
ERROR	ADAM18			
SUCCESS	ADAM22	7q21.12	Developmental and epileptic encephalopathy 61	AR
SUCCESS	ADAM9	8p11.22	Cone-rod dystrophy 9	AR
SUCCESS	ADAMTS10	19p13.2	Weill-Marchesani syndrome 1, recessive	AR
SUCCESS	ADAMTS13	9q34.2	Thrombotic thrombocytopenic purpura, hereditary	AR
SUCCESS	ADAMTS17	15q26.3	Weill-Marchesani 4 syndrome, recessive	AR
SUCCESS	ADAMTS18	16q23.1	Microcornea, myopic chorioretinal atrophy, and telecanthus	AR
SUCCESS	ADAMTS19	5q23.3	Cardiac valvular dysplasia 2	AR
SUCCESS	ADAMTS2	5q35.3	Ehlers-Danlos syndrome, dermatosparaxis type	AR
SUCCESS	ADAMTS3	4q13.3	Hennekam lymphangiectasia-lymphedema syndrome 3	AR
ERROR	ADAMTSL1			
SUCCESS	ADAMTSL2	9q34.2	Geleophysic dysplasia 1	AR
SUCCESS	ADAMTSL4	1q21.2	Ectopia lentis et pupillae|Ectopia lentis, isolated, autosomal recessive	AR|AR
SUCCESS	ADAR	1q21.3	Aicardi-Goutieres syndrome 6|Dyschromatosis symmetrica hereditaria	AR|AD
SUCCESS	ADARB1	21q22.3	Neurodevelopmental disorder with hypotonia, microcephaly, and seizures	AR
SUCCESS	ADAT3	19p13.3	Neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies	AR
SUCCESS	ADCY1	7p12.3	?Deafness, autosomal recessive 44	AR
SUCCESS	ADCY10	1q24.2	{Hypercalciuria, absorptive, susceptibility to}	AD
SUCCESS	ADCY3	2p23.3	{Obesity, susceptibility to, BMIQ19}	AR
SUCCESS	ADCY5	3q21.1	Dyskinesia with orofacial involvement, autosomal dominant|Dyskinesia with orofacial involvement, autosomal recessive|Neurodevelopmental disorder with hyperkinetic movements and dyskinesia	AD|AR|AR
SUCCESS	ADCY6	12q13.12	Lethal congenital contracture syndrome 8	AR
SUCCESS	ADD3	10q25.1-q25.2	Cerebral palsy, spastic quadriplegic, 3	AR
SUCCESS	ADGRG1	16q21	Cortical dysplasia, complex, with other brain malformations 14A, (bilateral frontoparietal)|Cortical dysplasia, complex, with other brain malformations 14B, (bilateral perisylvian)	AR|.
SUCCESS	ADGRG6	6q24.2	Lethal congenital contracture syndrome 9	AR
SUCCESS	ADGRL1	19p13.12	Developmental delay, behavioral abnormalities, and neuropsychiatric disorders	AD
SUCCESS	ADGRV1	5q14.3	?Febrile seizures, familial, 4|Usher syndrome, type 2C|Usher syndrome, type 2C, GPR98/PDZD7 digenic	AD|AR, DD|AR, DD
SUCCESS	ADH1B	4q23	{Aerodigestive tract cancer, squamous cell, alcohol-related, protection against}|{Alcohol dependence, protection against}	Mu|Mu
SUCCESS	ADH1C	4q23	{Alcohol dependence, protection against}|{Parkinson disease, susceptibility to}	Mu|AD, Mu
SUCCESS	ADH5	4q23	AMED syndrome, digenic	DR
SUCCESS	ADK	10q22.2	Hypermethioninemia due to adenosine kinase deficiency	AR
SUCCESS	ADNP	20q13.13	Helsmoortel-van der Aa syndrome	AD
ERROR	ADORA2A			
SUCCESS	ADPRS	1p34.3	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures	AR
ERROR	ADRA2B			
SUCCESS	ADRB3	8p11.23	{Obesity, susceptibility to}	AD, AR, Mu
SUCCESS	ADSL	22q13.1	Adenylosuccinase deficiency	AR
SUCCESS	ADSS1	14q32.33	Myopathy, distal, 5	AR
SUCCESS	AEBP1	7p13	Ehlers-Danlos syndrome, classic-like, 2	AR
SUCCESS	AFF2	Xq28	Intellectual developmental disorder, X-linked 109	XLR
SUCCESS	AFF3	2q11.2	KINSSHIP syndrome	AD
SUCCESS	AFF4	5q31.1	CHOPS syndrome	AD
SUCCESS	AFG2A	4q28.1	Neurodevelopmental disorder with hearing loss, seizures, and brain abnormalities	AR
SUCCESS	AFG2B	15q21.1	Deafness, autosomal recessive 119|Neurodevelopmental disorder with hearing loss and spasticity	AR|AR
SUCCESS	AFG3L2	18p11.21	Optic atrophy 12|Spastic ataxia 5, autosomal recessive|Spinocerebellar ataxia 28	AD|AR|AD
SUCCESS	AGA	4q34.3	Aspartylglucosaminuria	AR
SUCCESS	AGBL1	15q25.3	Corneal dystrophy, Fuchs endothelial, 8	AD
SUCCESS	AGBL5	2p23.3	Retinitis pigmentosa 75	AR
ERROR	AGGF1			
SUCCESS	AGK	7q34	Cataract 38, autosomal recessive|Sengers syndrome	AR|AR
SUCCESS	AGL	1p21.2	Glycogen storage disease IIIa|Glycogen storage disease IIIb	AR|AR
SUCCESS	AGO2	8q24.3	Lessel-Kreienkamp syndrome	AD
SUCCESS	AGPAT2	9q34.3	Lipodystrophy, congenital generalized, type 1	AR
SUCCESS	AGPS	2q31.2	Rhizomelic chondrodysplasia punctata, type 3	AR
SUCCESS	AGRN	1p36.33	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	AR
SUCCESS	AGRP	16q22.1	{Leanness, inherited}|{Obesity, late-onset}	AD, AR, Mu|AD, AR, Mu
SUCCESS	AGT	1q42.2	Renal tubular dysgenesis	AR
SUCCESS	AGTPBP1	9q21.33	Neurodegeneration, childhood-onset, with cerebellar atrophy	AR
SUCCESS	AGTR1	3q24	{Hypertension, essential}|Renal tubular dysgenesis	Mu|AR
SUCCESS	AGXT	2q37.3	Hyperoxaluria, primary, type 1	AR
SUCCESS	AHCY	20q11.22	Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase	AR
SUCCESS	AHI1	6q23.3	Joubert syndrome 3	AR
SUCCESS	AHR	7p21.1	?Retinitis pigmentosa 85|Foveal hypoplasia 3	AR|AR
SUCCESS	AHSG	3q27.3	?Alopecia-intellectual disability syndrome 1	AR
SUCCESS	AICDA	12p13.31	Immunodeficiency with hyper-IgM, type 2	AR
SUCCESS	AIFM1	Xq26.1	Combined oxidative phosphorylation deficiency 6|Cowchock syndrome|Deafness, X-linked 5|Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy	XLR|XLR|XLR|XLR
SUCCESS	AIMP1	4q24	Leukodystrophy, hypomyelinating, 3	AR
SUCCESS	AIMP2	7p22.1	Leukodystrophy, hypomyelinating, 17	AR
SUCCESS	AIP	11q13.2	Pituitary adenoma 1, multiple types|Pituitary adenoma predisposition	AD, SMu|AD, SMu
SUCCESS	AIPL1	17p13.2	Cone-rod dystrophy|Leber congenital amaurosis 4|Retinitis pigmentosa, juvenile	AD, AR|AD, AR|AD, AR
SUCCESS	AIRE	21q22.3	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia	AD, AR
SUCCESS	AK1	9q34.11	Anemia, congenital, nonspherocytic hemolytic, 3, adenylate kinase deficient	AR
SUCCESS	AK2	1p35.1	Reticular dysgenesis	AR
SUCCESS	AK9	6q21	Spermatogenic failure 89	AR
SUCCESS	AKAP9	7q21.2	?Long QT syndrome 11	AD
ERROR	AKR1B1			
SUCCESS	AKR1C2	10p15.1	46XY sex reversal 8	AR
SUCCESS	AKR1C4	10p15.1	{46XY sex reversal 8, modifier of}	AR
SUCCESS	AKR1D1	7q33	Bile acid synthesis defect, congenital, 2	AR
SUCCESS	AKT1	14q32.33	Breast cancer, somatic|Colorectal cancer, somatic|Cowden syndrome 6|Ovarian cancer, somatic|Proteus syndrome, somatic	.|.|.|.|.
SUCCESS	AKT2	19q13.2	Diabetes mellitus, type II|Hypoinsulinemic hypoglycemia with hemihypertrophy	AD|AD
SUCCESS	AKT3	1q43-q44	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2	AD
SUCCESS	ALAD	9q32	{Lead poisoning, susceptibility to}|Porphyria, acute hepatic	AR|AR
SUCCESS	ALAS2	Xp11.21	Anemia, sideroblastic, 1|Protoporphyria, erythropoietic, X-linked	XLR|XL
SUCCESS	ALB	4q13.3	?[Dysalbuminemic hypertriiodothyroninemia]|[Dysalbuminemic hyperthyroxinemia]|Analbuminemia	AD, AR|AD, AR|AR
SUCCESS	ALDH18A1	10q24.1	Cutis laxa, autosomal dominant 3|Cutis laxa, autosomal recessive, type IIIA|Spastic paraplegia 9A, autosomal dominant|Spastic paraplegia 9B, autosomal recessive	AD|AR|AD|AR
SUCCESS	ALDH1A2	15q21.3	Diaphragmatic hernia 4, with cardiovascular defects	AR
SUCCESS	ALDH1A3	15q26.3	Microphthalmia, isolated 8	AR
SUCCESS	ALDH3A2	17p11.2	Sjogren-Larsson syndrome	AR
SUCCESS	ALDH4A1	1p36.13	Hyperprolinemia, type II	AR
SUCCESS	ALDH5A1	6p22.3	Succinic semialdehyde dehydrogenase deficiency	AR
SUCCESS	ALDH6A1	14q24.3	Methylmalonate semialdehyde dehydrogenase deficiency	AR
SUCCESS	ALDH7A1	5q23.2	Epilepsy, early-onset, 4, vitamin B6-dependent	AR
SUCCESS	ALDOA	16p11.2	Glycogen storage disease XII	AR
SUCCESS	ALDOB	9q31.1	Fructose intolerance, hereditary	AR
SUCCESS	ALG1	16p13.3	Congenital disorder of glycosylation, type Ik	AR
ERROR	ALG10			
SUCCESS	ALG10B	12q12	{Long QT syndrome, acquired, reduced susceptibility to}	AD
SUCCESS	ALG11	13q14.3	Congenital disorder of glycosylation, type Ip	AR
SUCCESS	ALG12	22q13.33	Congenital disorder of glycosylation, type Ig	AR
SUCCESS	ALG13	Xq23	Developmental and epileptic encephalopathy 36	XL
SUCCESS	ALG14	1p21.3	?Myasthenic syndrome, congenital, 15, without tubular aggregates|Intellectual developmental disorder with epilepsy, behavioral abnormalities, and coarse facies|Myopathy, epilepsy, and progressive cerebral atrophy	AR|AR|AR
SUCCESS	ALG2	9q22.33	Congenital disorder of glycosylation, type Ii|Myasthenic syndrome, congenital, 14, with tubular aggregates	AR|AR
SUCCESS	ALG3	3q27.1	Congenital disorder of glycosylation, type Id	AR
SUCCESS	ALG5	13q13.3	Polycystic kidney disease 7	AD
SUCCESS	ALG6	1p31.3	Congenital disorder of glycosylation, type Ic	AR
SUCCESS	ALG8	11q14.1	Congenital disorder of glycosylation, type Ih|Polycystic liver disease 3 with or without kidney cysts	AR|AD
SUCCESS	ALG9	11q23.1	Congenital disorder of glycosylation, type Il|Gillessen-Kaesbach-Nishimura syndrome	AR|AR
SUCCESS	ALKBH8	11q22.3	Intellectual developmental disorder, autosomal recessive 71	AR
SUCCESS	ALMS1	2p13.1	Alstrom syndrome	AR
SUCCESS	ALOX12B	17p13.1	Ichthyosis, congenital, autosomal recessive 2	AR
SUCCESS	ALOX5	10q11.21	{Asthma, diminished response to antileukotriene treatment in}|{Atherosclerosis, susceptibility to}	AD|.
SUCCESS	ALOX5AP	13q12.3	{Stroke, susceptibility to}	Mu
SUCCESS	ALOXE3	17p13.1	Ichthyosis, congenital, autosomal recessive 3	AR
SUCCESS	ALPK1	4q25	ROSAH syndrome	AD
SUCCESS	ALPK3	15q25.3	Cardiomyopathy, familial hypertrophic 27	AR
SUCCESS	ALPL	1p36.12	Hypophosphatasia, adult|Hypophosphatasia, childhood|Hypophosphatasia, infantile|Odontohypophosphatasia	AD, AR|AR|AR|AD, AR
SUCCESS	ALS2	2q33.1	Amyotrophic lateral sclerosis 2, juvenile|Primary lateral sclerosis, juvenile|Spastic paralysis, infantile onset ascending	AR|AR|AR
SUCCESS	ALX1	12q21.31	Frontonasal dysplasia 3	AR
SUCCESS	ALX3	1p13.3	Frontonasal dysplasia 1	AR
SUCCESS	ALX4	11p11.2	{Craniosynostosis 5, susceptibility to}|Frontonasal dysplasia 2|Parietal foramina 2	AD|AR|AD
SUCCESS	AMACR	5p13.2	Alpha-methylacyl-CoA racemase deficiency|Bile acid synthesis defect, congenital, 4	AR|AR
SUCCESS	AMBN	4q13.3	Amelogenesis imperfecta, type IF	AR
ERROR	AMD1			
SUCCESS	AMELX	Xp22.2	Amelogenesis imperfecta, type 1E	XLD
SUCCESS	AMH	19p13.3	Persistent Mullerian duct syndrome, type I	AR
SUCCESS	AMHR2	12q13.13	Persistent Mullerian duct syndrome, type II	AR
SUCCESS	AMMECR1	Xq23	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	XLR
SUCCESS	AMN	14q32.32	Imerslund-Grasbeck syndrome 2	AR
SUCCESS	AMPD1	1p13.2	Myopathy due to myoadenylate deaminase deficiency	AR
SUCCESS	AMPD2	1p13.3	?Spastic paraplegia 63, autosomal recessive|Pontocerebellar hypoplasia, type 9	AR|AR
SUCCESS	AMPD3	11p15.4	[AMP deaminase deficiency, erythrocytic]	AR
SUCCESS	AMT	3p21.31	Glycine encephalopathy 2	AR
SUCCESS	ANAPC1	2q13	Rothmund-Thomson syndrome, type 1	AR
SUCCESS	ANAPC7	12q24.11	Ferguson-Bonni neurodevelopmental syndrome	AR
SUCCESS	ANG	14q11.2	Amyotrophic lateral sclerosis 9	.
SUCCESS	ANGPT1	8q23.1	?Angioedema, hereditary, 5	AD
SUCCESS	ANGPT2	8p23.1	Lymphatic malformation 10	AD
ERROR	ANGPTL6			
SUCCESS	ANK1	8p11.21	Spherocytosis, type 1	AD, AR
SUCCESS	ANK2	4q25-q26	Cardiac arrhythmia, ankyrin-B-related|Long QT syndrome 4	AD|AD
SUCCESS	ANK3	10q21.2	Intellectual developmental disorder, autosomal recessive 37	AR
ERROR	ANKFY1			
SUCCESS	ANKH	5p15.2	Chondrocalcinosis 2|Craniometaphyseal dysplasia	AD|AD
SUCCESS	ANKLE2	12q24.33	Microcephaly 16, primary, autosomal recessive	AR
ERROR	ANKRD1			
SUCCESS	ANKRD11	16q24.3	KBG syndrome	AD
SUCCESS	ANKRD17	4q13.3	Chopra-Amiel-Gordon syndrome	AD
SUCCESS	ANKRD26	10p12.1	Thrombocytopenia 2	AD
ERROR	ANKRD55			
SUCCESS	ANKS6	9q22.33	Nephronophthisis 16	AR
SUCCESS	ANLN	7p14.2	Focal segmental glomerulosclerosis 8	AD
SUCCESS	ANO1	11q13.3	?Intestinal dysmotility syndrome|Moyamoya disease 7	AR|AD, AR
SUCCESS	ANO10	3p22.1-p21.33	Spinocerebellar ataxia, autosomal recessive 10	AR
SUCCESS	ANO3	11p14.3-p14.2	Dystonia 24	AD
SUCCESS	ANO5	11p14.3	Gnathodiaphyseal dysplasia|Miyoshi muscular dystrophy 3|Muscular dystrophy, limb-girdle, autosomal recessive 12	AD|AR|AR
SUCCESS	ANOS1	Xp22.31	Hypogonadotropic hypogonadism 1 with or without anosmia (Kallmann syndrome 1)	XLR
SUCCESS	ANTXR1	2p13.3	{?Hemangioma, capillary infantile, susceptibility to}|GAPO syndrome	AD|AR
SUCCESS	ANTXR2	4q21.21	Hyaline fibromatosis syndrome	AR
SUCCESS	ANXA11	10q22.3	Amyotrophic lateral sclerosis 23|Inclusion body myopathy and brain white matter abnormalities	AD|AD
ERROR	AOC1			
SUCCESS	AOPEP	9q22.32	Dystonia 31	AR
SUCCESS	AP1B1	22q12.2	Keratitis-ichthyosis-deafness syndrome, autosomal recessive	AR
SUCCESS	AP1G1	16q22.2	Usmani-Riazuddin syndrome, autosomal dominant|Usmani-Riazuddin syndrome, autosomal recessive	AD|AR
SUCCESS	AP1S1	7q22.1	MEDNIK syndrome	AR
SUCCESS	AP1S2	Xp22.2	Pettigrew syndrome	XLR
SUCCESS	AP1S3	2q36.1	{Psoriasis 15, pustular, susceptibility to}	AD
SUCCESS	AP2M1	3q27.1	Intellectual developmental disorder 60 with seizures	AD
SUCCESS	AP2S1	19q13.32	Hypocalciuric hypercalcemia, type III	AD
SUCCESS	AP3B1	5q14.1	Hermansky-Pudlak syndrome 2	AR
SUCCESS	AP3B2	15q25.2	Developmental and epileptic encephalopathy 48	AR
SUCCESS	AP3D1	19p13.3	?Hermansky-Pudlak syndrome 10	AR
SUCCESS	AP4B1	1p13.2	Spastic paraplegia 47, autosomal recessive	AR
SUCCESS	AP4E1	15q21.2	Spastic paraplegia 51, autosomal recessive|Stuttering, familial persistent, 1	AR|AD
SUCCESS	AP4M1	7q22.1	Spastic paraplegia 50, autosomal recessive	AR
SUCCESS	AP4S1	14q12	Spastic paraplegia 52, autosomal recessive	AR
SUCCESS	AP5Z1	7p22.1	Spastic paraplegia 48, autosomal recessive	AR
SUCCESS	APC	5q22.2	Adenoma, periampullary, somatic|Adenomatous polyposis coli|Brain tumor-polyposis syndrome 2|Colorectal cancer, somatic|Desmoid disease, hereditary|Gardner syndrome|Gastric adenocarcinoma and proximal polyposis of the stomach|Gastric cancer, somatic|Hepatoblastoma, somatic	.|AD|AD|.|AD|AD|AD|.|.
SUCCESS	APC2	19p13.3	Cortical dysplasia, complex, with other brain malformations 10|Intellectual developmental disorder, autosomal recessive 74	AR|AR
SUCCESS	APCDD1	18p11.22	Hypotrichosis 1	AD
SUCCESS	APOA1	11q23.3	Amyloidosis, hereditary systemic 3|Hypoalphalipoproteinemia, primary, 2|Hypoalphalipoproteinemia, primary, 2, intermediate	.|AR|AD
SUCCESS	APOA5	11q23.3	{Hypertriglyceridemia, susceptibility to}|Hyperchylomicronemia, late-onset	AD|AD
SUCCESS	APOB	2p24.1	Hypercholesterolemia, familial, 2|Hypobetalipoproteinemia	AD|AR
SUCCESS	APOC2	19q13.32	Hyperlipoproteinemia, type Ib	AR
SUCCESS	APOE	19q13.32	{?Alzheimer disease, protection against, due to APOE3-Christchurch}|{?Macular degeneration, age-related}|{Coronary artery disease, severe, susceptibility to}|Alzheimer disease 2|Hyperlipoproteinemia, type III|Lipoprotein glomerulopathy|Sea-blue histiocyte disease	AD|AD|.|AD|.|.|AR
SUCCESS	APOL1	22q12.3	{Glomerulosclerosis, focal segmental, 4, susceptibility to}	AD
SUCCESS	APOL2	22q12.3	{Schizophrenia}	AD
ERROR	APOL3			
SUCCESS	APOL4	22q12.3	{Schizophrenia}	AD
SUCCESS	APP	21q21.3	Alzheimer disease 1, familial|Cerebral amyloid angiopathy, Dutch, Italian, Iowa, Flemish, Arctic variants	AD|AD
SUCCESS	APPL1	3p14.3	{Maturity-onset diabetes of the young, type 14}	AD
SUCCESS	APRT	16q24.3	Adenine phosphoribosyltransferase deficiency	AR
SUCCESS	APTX	9p21.1	Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia	AR
SUCCESS	AQP2	12q13.12	Diabetes insipidus, nephrogenic, 2	AD, AR
SUCCESS	AQP5	12q13.12	Palmoplantar keratoderma, Bothnian type	AD
SUCCESS	AR	Xq12	{Prostate cancer, susceptibility to}|Androgen insensitivity|Androgen insensitivity, partial, with or without breast cancer|Hypospadias 1, X-linked|Spinal and bulbar muscular atrophy, X-linked 1	XL|XLR|XLR|XLR|XLR
ERROR	ARC			
SUCCESS	ARCN1	11q23.3	Short stature-micrognathia syndrome	AD
SUCCESS	ARF1	1q42.13	Periventricular nodular heterotopia 8	AD
SUCCESS	ARFGEF1	8q13.2	Developmental delay, impaired speech, and behavioral abnormalities, with or without seizures	AD
SUCCESS	ARFGEF2	20q13.13	Periventricular heterotopia with microcephaly	AR
SUCCESS	ARG1	6q23.2	Argininemia	AR
ERROR	ARHGAP24			
ERROR	ARHGAP29			
SUCCESS	ARHGAP31	3q13.32-q13.33	Adams-Oliver syndrome 1	AD
SUCCESS	ARHGDIA	17q25.3	Nephrotic syndrome, type 8	AR
SUCCESS	ARHGEF1	19q13.2	?Immunodeficiency 62	AR
SUCCESS	ARHGEF18	19p13.2	Retinitis pigmentosa 78	AR
